Product Name,Product Description,Category,ProductCode,Media Standard Url 1,Media Standard AltText 1 
Klips for beholderrem,Klips for beholderrem,Fritid og fiske,1000516,https://webserver.flak.no/vbilder/1000516_XL.jpg  
Svart gummipakning,Svart gummipakning,Fritid og fiske,1000517,https://webserver.flak.no/vbilder/1000517_XL.jpg  
Løs rattinnsats for 30/50,Løs rattinnsats for 30/50,Styring og kontrollutstyr,1001001,  
Løs rattinnsats Teleflex,Løs rattinnsats Teleflex,Styring og kontrollutstyr,1001002,  
Løs rattinnsats 25-4 mm sylinder,Løs rattinnsats 25-4 mm sylinder,Styring og kontrollutstyr,1001003,  
Display for U-flex-ratt- metall,Display for U-flex-ratt- metall,Butikk og verksted,1001030,https://webserver.flak.no/vbilder/1001030_XL.jpg  
1852 Ratt m/hurtigsveiv 250 mm,1852 Ratt m/hurtigsveiv 250 mm,Styring og kontrollutstyr,1001031,https://webserver.flak.no/vbilder/1001031_XL.jpg  
Sveiv til 1001031,Sveiv til 1001031,Styring og kontrollutstyr,1001031-1,https://webserver.flak.no/vbilder/1001031-1_XL.jpg  
Uflex Ratt V32B hvit,Uflex Ratt V32B hvit,Styring og kontrollutstyr,1001032,  
Senterkopp til 1001032,Senterkopp til 1001032,Styring og kontrollutstyr,1001032-1,https://webserver.flak.no/vbilder/1001032-1_XL.jpg  
Uflex Ratt V33N sort,Uflex Ratt V33N sort,Styring og kontrollutstyr,1001033,https://webserver.flak.no/vbilder/1001033_XL.jpg  
Senterkopp til 1001033,Senterkopp til 1001033,Styring og kontrollutstyr,1001033-1,https://webserver.flak.no/vbilder/1001033-1_XL.jpg  
Uflex Ratt V32N sort,Uflex Ratt V32N sort,Styring og kontrollutstyr,1001034,  
Senterkopp til 1001034,Senterkopp til 1001034,Styring og kontrollutstyr,1001034-1,https://webserver.flak.no/vbilder/1001034-1_XL.jpg  
Senterkopp til 1001035,Senterkopp til 1001035,Styring og kontrollutstyr,1001035-1,https://webserver.flak.no/vbilder/1001035-1_XL.jpg  
